id,detalle,servicio_id,venta_id
1,,3,1
2,,4,5
3,,4,5
4,,4,5
5,,3,9
6,,3,9
7,,3,9
8,,3,9
9,,3,9
13,,3,11
14,,2,12
15,,2,12
16,,2,12
17,,1,13
18,,1,13
19,,1,13
20,,1,13
21,,6,13
22,,3,14
23,,3,14
24,,3,14
25,,3,14
26,,3,14
27,,3,14
28,,3,14
29,,3,14
30,,3,14
31,,3,14
32,,3,14
33,,3,14
34,,3,14
35,,3,14
36,,3,14
37,,3,14
38,,3,14
39,,3,14
40,,3,14
41,,3,14
42,,3,14
43,,3,14
44,,3,14
45,,3,14
46,,3,14
47,,3,14
48,,3,14
49,,3,14
50,,3,14
51,,3,14
52,,3,14
53,,3,14
54,,3,14
55,,3,14
56,,3,14
57,,3,14
58,,3,14
59,,3,14
60,,3,14
61,,3,14
62,,3,15
63,,3,15
64,,3,15
65,,3,15
66,,3,15
67,,3,16
68,,3,16
69,,3,16
70,,3,16
71,,3,16
72,,2,18
73,,2,18
74,,2,19
75,,3,20
76,,3,20
77,,3,20
78,,3,20
